a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
コーポ祥栄,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 歩31分 一畑電気鉄道松江線/電鉄出雲市駅 歩31分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩34分 , 築36年 2階建 ,             1階,3.5万円,-,7万円,-,1K,28.37m2
コーポパステル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車5分(1.5km)   , 築38年 2階建 ,             2階,3.2万円,3000円,6.4万円,-,2K,38.88m2
コーポパステル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車5分(1.5km)   , 築38年 2階建 ,             1階,3.2万円,3000円,6.4万円,-,2K,38.88m2
コーポパステル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車5分(1.5km)   , 築38年 2階建 ,             2階,3.2万円,3000円,6.4万円,-,2K,38.88m2
コーポ杉原南棟,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩8分   , 築37年 2階建 ,             2階,3.5万円,-,7万円,3.5万円,1K,28m2
ハイタウンスズキ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩9分 ＪＲ山陰本線/出雲市駅 歩29分  , 築33年 2階建 ,             2階,3.3万円,-,6.6万円,3.3万円,1K,23.24m2
ハイタウンスズキ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩9分 ＪＲ山陰本線/出雲市駅 歩29分  , 築33年 2階建 ,             2階,3.3万円,-,6.6万円,3.3万円,1K,23.24m2
ハイタウンスズキ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩9分 ＪＲ山陰本線/出雲市駅 歩29分  , 築33年 2階建 ,             2階,3.3万円,-,6.6万円,3.3万円,1K,23.24m2
メゾンFine,島根県出雲市斐川町神氷, ＪＲ山陰本線/直江駅 歩15分 一畑電気鉄道松江線/大津町駅 歩52分 一畑電気鉄道松江線/武志駅 歩62分 , 築37年 3階建 ,             3階,3万円,-,-,3万円,1K,20m2
古川マンション,島根県出雲市塩冶町南町２, ＪＲ山陰本線/出雲市駅 歩30分 一畑電気鉄道松江線/電鉄出雲市駅 歩30分  , 築43年 4階建 ,             4階,3.3万円,-,-,-,1K,26.4m2
古川マンション,島根県出雲市塩冶町南町２, ＪＲ山陰本線/出雲市駅 歩30分 一畑電気鉄道松江線/電鉄出雲市駅 歩30分  , 築43年 4階建 ,             1階,3.3万円,-,-,-,1K,26.4m2
ハンナンハイツ,島根県出雲市東園町, ＪＲ山陰本線/西出雲駅 歩44分   , 築25年 2階建 ,             1階,3万円,2000円,6万円,-,1K,26.35m2
