a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
キャナルII,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩8分   , 築25年 2階建 ,             1階,4万円,-,8万円,4万円,2DK,47.36m2
コーポサンセット７７,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 車7分(1.5km)   , 築33年 2階建 ,             1階,4.5万円,-,9万円,4.5万円,2K,41.4m2
ＪＲ山陰本線 出雲市駅 3階建 築22年,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)古志橋東詰 歩5分 ＪＲ山陰本線/出雲市駅 歩27分  , 築22年 3階建 ,             2階,3.9万円,6500円,-,-,1K,23.18m2
ＪＲ山陰本線 出雲市駅 3階建 築22年,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)古志橋東詰 歩5分 ＪＲ山陰本線/出雲市駅 歩27分  , 築22年 3階建 ,             3階,4万円,6500円,-,-,1K,23.18m2
ＪＲ山陰本線 出雲市駅 3階建 築22年,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)古志橋東詰 歩5分 ＪＲ山陰本線/出雲市駅 歩27分  , 築22年 3階建 ,             3階,4万円,6500円,-,-,1K,23.18m2
コーポイタクラ,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩21分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩32分 , 築45年 3階建 ,             2階,4.8万円,-,9.6万円,-,1K,30m2
一畑電気鉄道松江線 大津町駅 2階建 築28年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.7km) ＪＲ山陰本線/出雲市駅 車8分(2.9km) , 築28年 2階建 ,             2階,3.8万円,3100円,-,-,2DK,40.57m2
一畑電気鉄道松江線 大津町駅 2階建 築28年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.7km) ＪＲ山陰本線/出雲市駅 車8分(2.9km) , 築28年 2階建 ,             2階,3.8万円,3100円,-,-,2DK,40.57m2
アーバンＳ,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩16分   , 築23年 2階建 ,             1階,3.9万円,-,-,3.9万円,1K,24.71m2
ユニワエクセル,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 車11分(2.7km)   , 築23年 2階建 ,             1階,4.1万円,2500円,4.1万円,-,1K,26.83m2
ユニワエクセル,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 車11分(2.7km)   , 築23年 2階建 ,             2階,4.1万円,2500円,4.1万円,-,1K,26.83m2
ユニワエクセル,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 車11分(2.7km)   , 築23年 2階建 ,             1階,4.1万円,2500円,4.1万円,-,1K,26.83m2
ルミナスI　１号棟,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車11分(2.5km) 一畑バス/渡橋北 歩5分  , 築29年 2階建 ,             2階,4.1万円,3000円,-,-,1LDK,38.07m2
ルーバンハイツII,島根県出雲市高岡町, ＪＲ山陰本線/出雲市駅 車10分(2.6km)   , 築32年 2階建 ,             2階,4.2万円,-,-,4.2万円,2DK,44.71m2
ＳＳＫビル,島根県出雲市今市町, ＪＲ山陰本線/出雲市駅 歩1分   , 築19年 5階建 ,             3階,7.3万円,3000円,21.9万円,-,1LDK,50.3m2
センチュリー21　A,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分   , 築23年 2階建 ,             1階,4万円,-,4万円,4万円,1DK,30.4m2
センチュリー21　A,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分   , 築23年 2階建 ,             1階,4万円,-,4万円,4万円,1DK,30.4m2
メゾンセキIII,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 車4分(2.0km)   , 築27年 2階建 ,             1階,4.3万円,-,8.6万円,-,2DK,41.85m2
メゾンセキIII,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 車4分(2.0km)   , 築27年 2階建 ,             1階,4.3万円,-,8.6万円,-,2DK,41.85m2
ピノキオＣ棟,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 車4分(1.5km)   , 築23年 2階建 ,             1階,4.3万円,-,4.3万円,4.3万円,1DK,35.77m2
ヴィラちいみや,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩1分   , 築29年 2階建 ,             1階,4.3万円,-,8.6万円,4.3万円,2DK,45.36m2
